Date,Gold_Price_22k,USD_INR
2020-12-29,45154,73.5448989868164
2020-12-30,45369,73.45359802246094
2020-12-31,45222,73.13400268554688
2021-01-01,45194,73.08920288085938
2021-01-04,46427,73.09200286865234
2021-01-05,46764,73.31999969482422
2021-01-06,45701,73.37480163574219
2021-01-07,45821,73.36000061035156
2021-01-08,43999,73.44599914550781
2021-01-11,44327,73.37339782714844
2021-01-12,44251,73.51349639892578
2021-01-13,44297,73.16500091552734
2021-01-14,44221,73.1698989868164
2021-01-15,43670,73.08760070800781
2021-01-18,43712,73.15899658203125
2021-01-19,43974,73.1886978149414
2021-01-20,44607,73.19190216064453
2021-01-21,44422,72.91089630126953
2021-01-22,44220,72.95490264892578
2021-01-25,44225,72.99590301513672
2021-01-26,44110,72.97000122070312
2021-01-27,43941,72.91999816894531
2021-01-28,43845,73.03710174560547
2021-01-29,44010,72.93879699707031
2021-02-01,44312,72.90660095214844
2021-02-02,43718,73.11979675292969
2021-02-03,43636,72.91629791259766
2021-02-04,42571,72.85800170898438
2021-02-05,43147,72.9457015991211
2021-02-08,43551,72.78479766845703
2021-02-09,43718,72.92990112304688
2021-02-10,43800,72.85489654541016
2021-02-11,43398,72.80729675292969
2021-02-12,43261,72.70950317382812
2021-02-15,43193,72.59480285644531
2021-02-16,42640,72.63870239257812
2021-02-17,42192,72.93499755859375
2021-02-18,42167,72.79730224609375
2021-02-19,42113,72.60540008544922
2021-02-22,42815,72.5530014038086
2021-02-23,42696,72.44400024414062
2021-02-24,42467,72.37699890136719
2021-02-25,41961,72.4000015258789
2021-02-26,41290,73.1509017944336
2021-03-01,41406,73.59590148925781
2021-03-02,41499,73.30940246582031
2021-03-03,41055,73.27749633789062
2021-03-04,40473,72.88069915771484
2021-03-05,40560,73.13179779052734
2021-03-08,40076,73.1333999633789
2021-03-09,41115,73.33000183105469
2021-03-10,40921,72.7759017944336
2021-03-11,40901,72.70600128173828
2021-03-12,40797,72.63899993896484
2021-03-15,41044,72.68299865722656
2021-03-16,40990,72.51529693603516
2021-03-17,40900,72.5156021118164
2021-03-18,40904,72.29560089111328
2021-03-19,41333,72.6688003540039
2021-03-22,41098,72.40499877929688
2021-03-23,40774,72.38050079345703
2021-03-24,41099,72.61219787597656
2021-03-25,40928,72.64559936523438
2021-03-26,41083,72.61280059814453
2021-03-29,40514,72.44719696044922
2021-03-30,40009,72.74189758300781
2021-03-31,41113,73.44529724121094
2021-04-01,41281,73.20349884033203
2021-04-02,41328,73.28730010986328
2021-04-05,41390,73.3759994506836
2021-04-06,41683,73.27950286865234
2021-04-07,41769,73.48999786376953
2021-04-08,42693,74.40149688720703
2021-04-09,42446,74.54450225830078
2021-04-12,42256,74.72949981689453
2021-04-13,42772,74.99099731445312
2021-04-14,42603,75.18150329589844
2021-04-15,43262,75.0261001586914
2021-04-16,43422,74.72740173339844
2021-04-19,43093,74.56320190429688
2021-04-20,43468,74.8781967163086
2021-04-21,44169,75.44920349121094
2021-04-22,43884,75.42949676513672
2021-04-23,43584,75.0916976928711
2021-04-26,43508,74.86810302734375
2021-04-27,43448,74.81490325927734
2021-04-28,43192,74.57499694824219
2021-04-29,42916,74.31179809570312
2021-04-30,42777,74.10579681396484
2021-05-03,43354,74.09480285644531
2021-05-04,42828,73.8375015258789
2021-05-05,42994,73.77890014648438
2021-05-06,43762,73.79940032958984
2021-05-07,44028,73.61519622802734
2021-05-10,43987,73.29029846191406
2021-05-11,44075,73.5
2021-05-12,43681,73.3750991821289
2021-05-13,43892,73.68160247802734
2021-05-14,44090,73.44490051269531
2021-05-17,44698,73.27890014648438
2021-05-18,44700,73.26969909667969
2021-05-19,44936,73.1281967163086
2021-05-20,45006,73.222900390625
2021-05-21,44761,73.02189636230469
2021-05-24,44880,72.90979766845703
2021-05-25,45157,72.83660125732422
2021-05-26,45213,72.80490112304688
2021-05-27,44998,72.67250061035156
2021-05-28,45166,72.68299865722656
2021-05-31,44986,72.39350128173828
2021-06-01,45054,72.48719787597656
2021-06-02,45392,72.8550033569336
2021-06-03,44595,72.96510314941406
2021-06-04,45087,73.04419708251953
2021-06-07,45171,72.90969848632812
2021-06-08,44999,72.80940246582031
2021-06-09,45126,72.97530364990234
2021-06-10,45156,72.98529815673828
2021-06-11,44772,73.01229858398438
2021-06-14,44586,73.23159790039062
2021-06-15,44328,73.18080139160156
